"idEquipement","element","disponible","service","panne","obsolete","nonService","reparation"
"96","Meuleuse automatique","yQDP1Jraj2O","p03xGz2hRtu","LyQa3qRN9D3","Fq35dBqzqnl","NlVrfubsWuI","UY7Byzb6vqU"
"97","Microscope","OlfNRoRHXoP","Yz7bGIUSAId","dOCDN19PGR5","dNWUxQwqdlj","EGDkzIE4Tnt","yzx2JEb6SaF"
"98","Microscope opératoire","hjkFroqAn2K","yMdVvRvopVd","YyiNFGO2lOE","emf7tv8xxe7","yH3LG6N3FwC","rDiGiia3ooA"
"99","Microtome","aIvjnLoUPI9","ThG50gnBqA4","hfwNjNgSTxV","r5mDgxx0wFQ","aAnBVxtA13b","ABtybSUD5dU"
"100","Moniteur de surveillance multiparamétrique","nlELyqgp7Oq","jXP61jkj5Hq","YsTl8cIFfuP","XPXh5oBAa1e","AVmichw1vbc","vUFdfXS7zww"
"101","Moniteur de tension artérielle","PEDjYCPKZtI","LzDxiBDW3lT","eprAvMke7QF","QSkTt1kzrZK","fDv66U8sgB0","kUPBV5b0OEK"
"102","Monture à essai","DFF7n62EStT","KYPXMMoxGL0","I8GjSGO3Tb0","Y5S9mf06fpY","aMozAyFmfO9","mNuzujhXJZG"
"103","Moteur chirugical","TvrBmDtDVJ5","dVRk9bBivT9","sQJ1dpmtl23","wmvha8zTtlw","go2bRHus4QT","wrGFoIPKr13"
"104","Nébuliseur","Y9HNT1PQSej","qBJbQOsKMFj","MhFNhKLJ8fn","PXK8RE1nFNv","emiYoztafH5","pUc08AU5tVB"
"105","Négatoscope","DtFi8oMDOXd","pfijeg1Zs3N","ytx3l6VBN3T","M7pBQxGvxf1","P2T5D92dzHZ","knXo4Yd4mgW"
"106","Numériseur de film RX","SiXuhWDpMTO","LmKJ1wJHMax","WzRNeCBWlKc","uGRxcL1ZzlI","jAdEOgsZrdv","KehitKtygok"
"107","Ophtalmoscope","vjkHrIQmZcy","h8U053ubEsJ","tr2ytuBRCJ2","H4sZ55Cs65q","HCBWRvNMefu","boicsgh2viY"
"108","Oxymètre de pouls","BcQ321glJbb","udBHy5Wqnky","kIC88PTu1y6","kp0NISKwuFT","IUKbBt4vPMp","lBPLw8raQsM"
"109","Pachymètre","NoZXv3PBHbI","OYOSntNGDyw","aS0XQuPEcWD","Jldn6FnkiT3","hbTb65vW4XD","v5mZwEes11V"
"110","Pèse bébé","OrGd68iJtOt","YkjmvsNj9bO","Mn5H2UhreF0","IMxkRBHvPzX","VYGVUyCEIer","zeLCVJkfeUK"
"111","Pèse personne","AOU32Kp1DTN","X30zjtK5KwF","JVuKObDBQER","eEy8VpysGrz","BZRE3hHNAoX","W0rppI4f2W5"
"112","Pipillomètre","CbkRQogcdbA","sqXenURocsM","B1P2OyZKUjO","d4P7YQyzawY","jWaOy61gX5o","pup75Bmid49"
